[Thu Dec  4 09:09:44.957 2008] 0.018 sec [ext/2/rel 0 (0,15)] [*] alvaro @status NOT LIKE 'pendiente'
[Thu Dec  4 11:42:42.885 2008] 0.001 sec [ext/2/rel 20 (0,20)] [*] "*peluche*" @status terminado
[Thu Dec  4 11:42:58.100 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K00220*" @status terminado
[Thu Dec  4 11:43:29.066 2008] 0.001 sec [ext/2/rel 2 (0,20)] [*] "*K002*" @status terminado
[Thu Dec  4 11:43:35.538 2008] 0.001 sec [ext/2/rel 80 (0,20)] [*] "*K00*" @status terminado
[Thu Dec  4 11:44:00.587 2008] 0.001 sec [ext/2/rel 10 (0,20)] [*] "*K0015*" @status terminado
[Thu Dec  4 11:47:10.952 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K00220*" @status terminado
[Thu Dec  4 11:48:59.038 2008] 0.001 sec [ext/2/rel 1 (0,20)] [*] "*K00220*" @status terminada
[Thu Dec  4 11:49:08.942 2008] 0.001 sec [ext/2/rel 216 (0,20)] [*] "*K00*" @status terminada
[Thu Dec  4 11:49:37.225 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K*" @status terminada
[Thu Dec  4 11:49:42.439 2008] 0.001 sec [ext/2/rel 216 (0,20)] [*] "*K00*" @status terminada
[Thu Dec  4 11:49:55.432 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K01*" @status terminada
[Thu Dec  4 11:50:01.022 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K011*" @status terminada
[Thu Dec  4 11:50:03.422 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K0110*" @status terminada
[Thu Dec  4 11:50:08.623 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K01100*" @status terminada
[Thu Dec  4 11:50:11.211 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K01120*" @status terminada
[Thu Dec  4 11:50:16.441 2008] 0.001 sec [ext/2/rel 0 (0,20)] [*] "*K00999*" @status terminada
